발표시간,지역,발효시각,해당지역,내용
2024-01-25 00:00,대전·세종·충청남도,(1) 강풍주의보 해제 : 2024년 01월 25일 00시 00분 / (2) 풍랑주의보 연장 : 2024년 01월 25일 00시 00분,(1) 강풍주의보 해제 : 충청남도(태안. 당진. 서산. 보령. 서천. 홍성) / (2) 풍랑주의보 연장 : 서해중부앞바다(충남북부앞바다. 충남남부앞바다),(2) 풍랑주의보 연장 /   o 해제 예고: 25일 새벽(03시~06시)
2024-01-25 02:00,대전·세종·충청남도,(1) 풍랑주의보 해제 : 2024년 01월 25일 03시 00분,(1) 풍랑주의보 해제 : 충남북부앞바다( 천수만 평수구역 . 안면도 서쪽 평수구역 ),
2024-01-25 03:30,대전·세종·충청남도,(1) 풍랑주의보 해제 : 2024년 01월 25일 05시 00분,(1) 풍랑주의보 해제 : 충남북부앞바다( 가로림만·당진 평수구역 ),
2024-01-25 04:00,대전·세종·충청남도,(1) 풍랑주의보 해제 : 2024년 01월 25일 06시 00분,(1) 풍랑주의보 해제 : 서해중부앞바다(충남북부앞바다. 충남남부앞바다),
2024-01-25 10:00,대전·세종·충청남도,(1) 한파주의보 해제 : 2024년 01월 25일 10시 00분,(1) 한파주의보 해제 : 충청남도(천안. 계룡),
2024-02-15 09:00,대전·세종·충청남도,(1) 강풍주의보 발표 : 2024년 02월 15일 11시 00분 / (2) 풍랑주의보 발표 : 2024년 02월 15일 11시 00분,(1) 강풍주의보 발표 : 충청남도(태안. 당진. 서산. 보령. 서천. 홍성) / (2) 풍랑주의보 발표 : 서해중부앞바다(충남북부앞바다. 충남남부앞바다),(1) 강풍주의보 발표 /   o 해제 예고: 15일 밤(21시~24시) / (2) 풍랑주의보 발표 /   o 해제 예고: 15일 밤(21시~24시)
2024-02-15 22:00,대전·세종·충청남도,(1) 강풍주의보 해제 : 2024년 02월 16일 00시 00분 / (2) 풍랑주의보 해제 : 2024년 02월 16일 00시 00분,(1) 강풍주의보 해제 : 충청남도(태안. 당진. 서산. 보령. 서천. 홍성) / (2) 풍랑주의보 해제 : 서해중부앞바다(충남북부앞바다. 충남남부앞바다),
2024-02-22 02:00,대전·세종·충청남도,(1) 대설주의보 발표 : 2024년 02월 22일 02시 00분,(1) 대설주의보 발표 : 충청남도(천안. 아산. 예산. 당진). 세종,
2024-02-22 09:00,대전·세종·충청남도,(1) 대설주의보 해제 : 2024년 02월 22일 09시 00분,(1) 대설주의보 해제 : 충청남도(천안. 아산. 예산. 당진). 세종,
2024-02-29 20:00,대전·세종·충청남도,(1) 강풍주의보 발표 : 2024년 02월 29일 20시 00분 / (2) 풍랑주의보 발표 : 2024년 02월 29일 22시 00분,(1) 강풍주의보 발표 : 충청남도(태안. 당진. 서산. 보령. 서천. 홍성) / (2) 풍랑주의보 발표 : 서해중부앞바다(충남북부앞바다. 충남남부앞바다),(1) 강풍주의보 발표 /   o 해제 예고: 1일 밤(21시~24시) / (2) 풍랑주의보 발표 /   o 해제 예고: 1일 밤(21시~24시)
2024-03-01 22:00,대전·세종·충청남도,(1) 강풍주의보 해제 : 2024년 03월 01일 22시 00분,(1) 강풍주의보 해제 : 충청남도(태안. 당진. 서산. 보령. 서천. 홍성),
2024-03-01 23:30,대전·세종·충청남도,(1) 풍랑주의보 해제 : 2024년 03월 02일 01시 00분,(1) 풍랑주의보 해제 : 서해중부앞바다(충남북부앞바다. 충남남부앞바다),
2024-03-17 10:00,대전·세종·충청남도,(1) 한파주의보 발표 : 2024년 03월 17일 21시 00분,(1) 한파주의보 발표 : 충청남도(공주. 금산. 청양. 계룡). 대전,
2024-03-17 13:00,대전·세종·충청남도,(1) 강풍주의보 발표 : 2024년 03월 17일 13시 00분 / (2) 풍랑주의보 발표 : 2024년 03월 17일 15시 00분,(1) 강풍주의보 발표 : 충청남도(태안. 당진. 서산. 보령. 서천. 홍성) / (2) 풍랑주의보 발표 : 서해중부앞바다(충남북부앞바다. 충남남부앞바다),(1) 강풍주의보 발표 /   o 해제 예고: 17일 밤(21시~24시) / (2) 풍랑주의보 발표 /   o 해제 예고: 17일 밤(21시~24시)
2024-03-18 00:00,대전·세종·충청남도,(1) 강풍주의보 해제 : 2024년 03월 18일 02시 00분 / (2) 풍랑주의보 해제 : 2024년 03월 18일 02시 00분,(1) 강풍주의보 해제 : 충청남도(태안. 당진. 서산. 보령. 서천. 홍성) / (2) 풍랑주의보 해제 : 서해중부앞바다(충남북부앞바다. 충남남부앞바다),
2024-03-18 10:00,대전·세종·충청남도,(1) 한파주의보 해제 : 2024년 03월 18일 10시 00분,(1) 한파주의보 해제 : 충청남도(공주. 금산. 청양. 계룡). 대전,
2024-03-19 13:00,대전·세종·충청남도,(1) 강풍주의보 발표 : 2024년 03월 19일 16시 00분 / (2) 풍랑주의보 발표 : 2024년 03월 19일 16시 00분,(1) 강풍주의보 발표 : 충청남도(태안. 당진. 서산. 보령. 서천. 홍성) / (2) 풍랑주의보 발표 : 서해중부앞바다(충남북부앞바다. 충남남부앞바다),(1) 강풍주의보 발표 /   o 해제 예고: 20일 오전(09시~12시) / (2) 풍랑주의보 발표 /   o 해제 예고: 20일 오전(09시~12시)
2024-03-20 08:00,대전·세종·충청남도,(1) 풍랑주의보 해제 : 2024년 03월 20일 08시 10분,(1) 풍랑주의보 해제 : 충남북부앞바다( 천수만 평수구역 . 가로림만·당진 평수구역 ),
2024-03-20 09:00,대전·세종·충청남도,(1) 강풍주의보 해제 : 2024년 03월 20일 10시 00분 / (2) 풍랑주의보 해제 : 2024년 03월 20일 10시 00분,(1) 강풍주의보 해제 : 충청남도(태안. 당진. 서산. 보령. 서천. 홍성) / (2) 풍랑주의보 해제 : 서해중부앞바다(충남북부앞바다. 충남남부앞바다),
2024-03-22 09:00,대전·세종·충청남도,(1) 풍랑주의보 발표 : 2024년 03월 22일 11시 00분,(1) 풍랑주의보 발표 : 서해중부앞바다(충남북부앞바다. 충남남부앞바다),(1) 풍랑주의보 발표 /   o 해제 예고: 23일 새벽(00시~03시)
2024-03-22 11:00,대전·세종·충청남도,(1) 강풍주의보 발표 : 2024년 03월 22일 11시 00분,(1) 강풍주의보 발표 : 충청남도(태안. 당진. 서산. 보령. 서천. 홍성),(1) 강풍주의보 발표 /   o 해제 예고: 23일 새벽(00시~03시)
2024-03-23 01:00,대전·세종·충청남도,(1) 강풍주의보 해제 : 2024년 03월 23일 01시 00분 / (2) 풍랑주의보 해제 : 2024년 03월 23일 02시 00분,(1) 강풍주의보 해제 : 충청남도(태안. 당진. 서산. 보령. 서천. 홍성) / (2) 풍랑주의보 해제 : 서해중부앞바다(충남북부앞바다. 충남남부앞바다),
2024-03-29 08:30,대전·세종·충청남도,(1) 강풍주의보 발표 : 2024년 03월 29일 08시 30분 / (2) 풍랑주의보 발표 : 2024년 03월 29일 09시 00분,(1) 강풍주의보 발표 : 충청남도(예산. 태안. 당진. 서산. 보령. 서천. 홍성) / (2) 풍랑주의보 발표 : 서해중부앞바다(충남북부앞바다. 충남남부앞바다),(1) 강풍주의보 발표 /   o 해제 예고: 29일 저녁(18시~21시) / (2) 풍랑주의보 발표 /   o 해제 예고: 29일 저녁(18시~21시)
2024-03-29 10:00,대전·세종·충청남도,(1) 강풍주의보 발표 : 2024년 03월 29일 10시 00분,(1) 강풍주의보 발표 : 충청남도(천안. 공주. 아산. 논산. 금산. 부여. 청양. 계룡). 대전. 세종,(1) 강풍주의보 발표 /   o 해제 예고: 29일 저녁(18시~21시)
2024-03-29 16:00,대전·세종·충청남도,(1) 강풍주의보 해제 : 2024년 03월 29일 17시 00분 / (2) 풍랑주의보 해제 : 2024년 03월 29일 17시 00분,(1) 강풍주의보 해제 : 충청남도. 대전. 세종 / (2) 풍랑주의보 해제 : 서해중부앞바다(충남북부앞바다. 충남남부앞바다),
2024-04-15 02:00,대전·세종·충청남도,(1) 강풍주의보 발표 : 2024년 04월 15일 04시 00분 / (2) 풍랑주의보 발표 : 2024년 04월 15일 04시 00분,(1) 강풍주의보 발표 : 충청남도(태안. 당진. 서산. 보령. 서천. 홍성) / (2) 풍랑주의보 발표 : 서해중부앞바다(충남북부앞바다. 충남남부앞바다),(1) 강풍주의보 발표 /   o 해제 예고: 15일 낮(12시~15시) / (2) 풍랑주의보 발표 /   o 해제 예고: 15일 늦은 오후(15시~18시)
2024-04-15 10:30,대전·세종·충청남도,(1) 풍랑주의보 해제 : 2024년 04월 15일 11시 00분,(1) 풍랑주의보 해제 : 충남북부앞바다( 천수만 평수구역 . 가로림만·당진 평수구역 . 안면도 서쪽 평수구역 ). 충남남부앞바다( 평수구역 ),
2024-04-15 11:00,대전·세종·충청남도,(1) 강풍주의보 해제 : 2024년 04월 15일 13시 00분 / (2) 풍랑주의보 해제 : 2024년 04월 15일 13시 00분,(1) 강풍주의보 해제 : 충청남도(태안. 당진. 서산. 보령. 서천. 홍성) / (2) 풍랑주의보 해제 : 서해중부앞바다(충남북부앞바다. 충남남부앞바다),
2024-05-05 12:00,대전·세종·충청남도,(1) 강풍주의보 발표 : 2024년 05월 05일 14시 00분 / (2) 풍랑주의보 발표 : 2024년 05월 05일 14시 00분,(1) 강풍주의보 발표 : 충청남도(태안. 당진. 서산. 보령. 서천. 홍성) / (2) 풍랑주의보 발표 : 서해중부앞바다(충남북부앞바다. 충남남부앞바다),(1) 강풍주의보 발표 /   o 해제 예고: 5일 밤(21시~24시) / (2) 풍랑주의보 발표 /   o 해제 예고: 5일 밤(21시~24시)
2024-05-05 23:00,대전·세종·충청남도,(1) 강풍주의보 해제 : 2024년 05월 05일 23시 00분 / (2) 풍랑주의보 해제 : 2024년 05월 06일 01시 00분,(1) 강풍주의보 해제 : 충청남도(태안. 당진. 서산. 보령. 서천. 홍성) / (2) 풍랑주의보 해제 : 서해중부앞바다(충남북부앞바다. 충남남부앞바다),
2024-05-11 05:00,대전·세종·충청남도,(1) 강풍주의보 발표 : 2024년 05월 11일 07시 00분,(1) 강풍주의보 발표 : 충청남도(태안. 당진. 서산. 보령. 서천. 홍성),(1) 강풍주의보 발표 /   o 해제 예고: 11일 저녁(18시~21시)
2024-05-11 20:00,대전·세종·충청남도,(1) 강풍주의보 해제 : 2024년 05월 11일 20시 00분,(1) 강풍주의보 해제 : 충청남도(태안. 당진. 서산. 보령. 서천. 홍성),
2024-05-15 11:00,대전·세종·충청남도,(1) 강풍주의보 발표 : 2024년 05월 15일 11시 00분 / (2) 풍랑주의보 발표 : 2024년 05월 15일 12시 00분,(1) 강풍주의보 발표 : 충청남도(아산. 부여. 청양. 예산. 태안. 당진. 서산. 보령. 서천. 홍성) / (2) 풍랑주의보 발표 : 서해중부앞바다(충남북부앞바다. 충남남부앞바다),(1) 강풍주의보 발표 /   o 해제 예고: 15일 밤(21시~24시) / (2) 풍랑주의보 발표 /   o 해제 예고: 15일 밤(21시~24시)
2024-05-16 00:00,대전·세종·충청남도,(1) 강풍주의보 해제 : 2024년 05월 16일 00시 00분 / (2) 강풍주의보 해제 : 2024년 05월 16일 03시 00분 / (3) 풍랑주의보 해제 : 2024년 05월 16일 03시 00분,(1) 강풍주의보 해제 : 충청남도(아산. 부여. 청양. 예산) / (2) 강풍주의보 해제 : 충청남도(태안. 당진. 서산. 보령. 서천. 홍성) / (3) 풍랑주의보 해제 : 서해중부앞바다(충남북부앞바다. 충남남부앞바다),
2024-05-26 14:50,대전·세종·충청남도,(1) 호우주의보 발표 : 2024년 05월 26일 14시 50분,(1) 호우주의보 발표 : 충청남도(홍성),
2024-05-26 16:10,대전·세종·충청남도,(1) 호우주의보 해제 : 2024년 05월 26일 16시 10분,(1) 호우주의보 해제 : 충청남도(홍성),
2024-06-18 10:30,대전·세종·충청남도,(1) 폭염주의보 발표 : 2024년 06월 19일 10시 00분,(1) 폭염주의보 발표 : 충청남도(공주. 아산. 논산. 청양). 대전. 세종,
2024-06-19 10:00,대전·세종·충청남도,(1) 폭염주의보 발표 : 2024년 06월 19일 10시 00분,(1) 폭염주의보 발표 : 충청남도(천안. 부여. 계룡),
2024-06-20 10:00,대전·세종·충청남도,(1) 폭염주의보 발표 : 2024년 06월 20일 10시 00분,(1) 폭염주의보 발표 : 충청남도(금산. 태안. 서산. 홍성),
2024-06-21 16:00,대전·세종·충청남도,(1) 폭염주의보 해제 : 2024년 06월 21일 16시 00분,(1) 폭염주의보 해제 : 충청남도(천안. 공주. 아산. 논산. 금산. 부여. 청양. 태안. 서산. 홍성. 계룡). 대전. 세종,
2024-06-29 16:10,대전·세종·충청남도,(1) 호우주의보 발표 : 2024년 06월 29일 17시 00분,(1) 호우주의보 발표 : 충청남도(부여. 보령. 서천),
2024-06-29 17:00,대전·세종·충청남도,(1) 호우주의보 발표 : 2024년 06월 29일 18시 00분,(1) 호우주의보 발표 : 충청남도(공주. 논산. 금산. 청양. 예산. 태안. 당진. 서산. 홍성. 계룡). 대전,
2024-06-29 18:00,대전·세종·충청남도,(1) 호우주의보 발표 : 2024년 06월 29일 19시 00분,(1) 호우주의보 발표 : 충청남도(천안. 아산). 세종,
2024-06-29 19:00,대전·세종·충청남도,(1) 강풍주의보 발표 : 2024년 06월 29일 20시 00분 / (2) 풍랑주의보 발표 : 2024년 06월 29일 20시 00분,(1) 강풍주의보 발표 : 충청남도(아산. 태안. 당진. 서산. 보령. 서천. 홍성) / (2) 풍랑주의보 발표 : 서해중부앞바다(충남북부앞바다. 충남남부앞바다),(1) 강풍주의보 발표 /   o 해제 예고: 30일 밤(21시~24시) / (2) 풍랑주의보 발표 /   o 해제 예고: 30일 밤(21시~24시)
2024-06-30 04:20,대전·세종·충청남도,(1) 호우주의보 해제 : 2024년 06월 30일 04시 20분,(1) 호우주의보 해제 : 충청남도(논산. 금산. 계룡 제외). 세종,
2024-06-30 07:00,대전·세종·충청남도,(1) 호우주의보 해제 : 2024년 06월 30일 07시 00분,(1) 호우주의보 해제 : 충청남도(논산. 계룡). 대전,
2024-06-30 08:30,대전·세종·충청남도,(1) 호우주의보 해제 : 2024년 06월 30일 08시 30분,(1) 호우주의보 해제 : 충청남도(금산),
2024-06-30 14:00,대전·세종·충청남도,(1) 강풍주의보 해제 : 2024년 06월 30일 14시 00분 / (2) 풍랑주의보 해제 : 2024년 06월 30일 15시 00분,(1) 강풍주의보 해제 : 충청남도(아산. 태안. 당진. 서산. 보령. 서천. 홍성) / (2) 풍랑주의보 해제 : 서해중부앞바다(충남북부앞바다. 충남남부앞바다),
2024-07-02 05:30,대전·세종·충청남도,(1) 호우주의보 발표 : 2024년 07월 02일 05시 30분,(1) 호우주의보 발표 : 충청남도(부여. 서천),
2024-07-02 06:00,대전·세종·충청남도,(1) 호우주의보 발표 : 2024년 07월 02일 06시 00분,(1) 호우주의보 발표 : 충청남도(공주. 청양. 보령),
2024-07-02 06:40,대전·세종·충청남도,(1) 호우주의보 발표 : 2024년 07월 02일 06시 40분,(1) 호우주의보 발표 : 충청남도(논산. 태안. 홍성). 세종,
2024-07-02 07:00,대전·세종·충청남도,(1) 호우주의보 발표 : 2024년 07월 02일 07시 00분,(1) 호우주의보 발표 : 충청남도(천안. 아산. 예산. 당진. 서산. 계룡). 대전,
2024-07-02 09:00,대전·세종·충청남도,(1) 강풍주의보 발표 : 2024년 07월 02일 09시 00분,(1) 강풍주의보 발표 : 충청남도(태안. 당진. 서산. 보령. 서천. 홍성),(1) 강풍주의보 발표 /   o 해제 예고: 3일 오전(09시~12시)
2024-07-02 12:00,대전·세종·충청남도,(1) 호우주의보 해제 : 2024년 07월 02일 12시 00분 / (2) 풍랑주의보 발표 : 2024년 07월 02일 13시 00분,(1) 호우주의보 해제 : 충청남도(공주. 논산. 부여. 청양. 예산. 보령. 서천. 홍성. 계룡). 대전 / (2) 풍랑주의보 발표 : 서해중부앞바다(충남북부앞바다. 충남남부앞바다),(2) 풍랑주의보 발표 /   o 해제 예고: 3일 오전(09시~12시)
2024-07-02 13:00,대전·세종·충청남도,(1) 호우주의보 해제 : 2024년 07월 02일 13시 00분,(1) 호우주의보 해제 : 충청남도(천안. 아산. 태안. 당진. 서산). 세종,
2024-07-03 07:00,대전·세종·충청남도,(1) 강풍주의보 해제 : 2024년 07월 03일 07시 00분 / (2) 풍랑주의보 해제 : 2024년 07월 03일 09시 00분,(1) 강풍주의보 해제 : 충청남도(태안. 당진. 서산. 보령. 서천. 홍성) / (2) 풍랑주의보 해제 : 서해중부앞바다(충남북부앞바다. 충남남부앞바다),
2024-07-04 23:00,대전·세종·충청남도,(1) 풍랑주의보 발표 : 2024년 07월 05일 00시 00분,(1) 풍랑주의보 발표 : 서해중부앞바다(충남북부앞바다. 충남남부앞바다),(1) 풍랑주의보 발표 /   o 해제 예고: 5일 아침(06시~09시)
2024-07-04 23:30,대전·세종·충청남도,(1) 강풍주의보 발표 : 2024년 07월 04일 23시 30분,(1) 강풍주의보 발표 : 충청남도(태안. 당진. 서산. 보령. 서천. 홍성),(1) 강풍주의보 발표 /   o 해제 예고: 5일 아침(06시~09시)
2024-07-05 06:00,대전·세종·충청남도,(1) 강풍주의보 해제 : 2024년 07월 05일 06시 00분,(1) 강풍주의보 해제 : 충청남도(태안. 당진. 서산. 보령. 서천. 홍성),
2024-07-05 07:20,대전·세종·충청남도,(1) 풍랑주의보 해제 : 2024년 07월 05일 08시 00분,(1) 풍랑주의보 해제 : 충남북부앞바다( 천수만 평수구역 . 가로림만·당진 평수구역 . 안면도 서쪽 평수구역 ). 충남남부앞바다( 평수구역 ),
2024-07-05 08:00,대전·세종·충청남도,(1) 풍랑주의보 해제 : 2024년 07월 05일 08시 30분,(1) 풍랑주의보 해제 : 서해중부앞바다(충남북부앞바다. 충남남부앞바다),
2024-07-05 10:00,대전·세종·충청남도,(1) 폭염주의보 발표 : 2024년 07월 05일 10시 00분,(1) 폭염주의보 발표 : 충청남도(천안. 공주. 아산. 논산. 부여). 세종,
2024-07-06 11:00,대전·세종·충청남도,(1) 강풍주의보 발표 : 2024년 07월 06일 13시 00분 / (2) 풍랑주의보 발표 : 2024년 07월 06일 13시 00분,(1) 강풍주의보 발표 : 충청남도(태안. 당진. 서산. 보령. 서천. 홍성) / (2) 풍랑주의보 발표 : 서해중부앞바다(충남북부앞바다),(1) 강풍주의보 발표 /   o 해제 예고: 7일 새벽(03시~06시) / (2) 풍랑주의보 발표 /   o 해제 예고: 7일 새벽(03시~06시)
2024-07-06 23:00,대전·세종·충청남도,(1) 강풍주의보 해제 : 2024년 07월 07일 01시 00분 / (2) 풍랑주의보 해제 : 2024년 07월 07일 01시 00분,(1) 강풍주의보 해제 : 충청남도(태안. 당진. 서산. 보령. 서천. 홍성) / (2) 풍랑주의보 해제 : 서해중부앞바다(충남북부앞바다),
2024-07-07 01:20,대전·세종·충청남도,(1) 호우주의보 발표 : 2024년 07월 07일 01시 20분,(1) 호우주의보 발표 : 충청남도(천안. 아산. 예산. 태안. 홍성),
2024-07-07 02:50,대전·세종·충청남도,(1) 호우주의보 발표 : 2024년 07월 07일 02시 50분,(1) 호우주의보 발표 : 충청남도(공주. 청양. 보령). 세종,
2024-07-07 10:00,대전·세종·충청남도,(1) 폭염주의보 해제 : 2024년 07월 07일 10시 00분 / (2) 호우주의보 해제 : 2024년 07월 07일 11시 00분,(1) 폭염주의보 해제 : 충청남도(천안. 공주. 아산. 논산. 부여). 세종 / (2) 호우주의보 해제 : 충청남도(천안. 공주. 아산. 청양. 예산. 태안. 보령. 홍성). 세종,
2024-07-08 00:50,대전·세종·충청남도,(1) 호우주의보 발표 : 2024년 07월 08일 00시 50분,(1) 호우주의보 발표 : 충청남도(논산). 대전,
2024-07-08 01:20,대전·세종·충청남도,(1) 호우주의보 발표 : 2024년 07월 08일 01시 20분,(1) 호우주의보 발표 : 충청남도(부여. 서천),
2024-07-08 01:45,대전·세종·충청남도,(1) 호우주의보 발표 : 2024년 07월 08일 01시 45분,(1) 호우주의보 발표 : 충청남도(금산. 계룡),
2024-07-08 02:00,대전·세종·충청남도,(1) 호우경보 변경 : 2024년 07월 08일 02시 00분,(1) 호우경보 변경 : 대전,
2024-07-08 02:50,대전·세종·충청남도,(1) 호우경보 변경 : 2024년 07월 08일 02시 50분,(1) 호우경보 변경 : 충청남도(논산. 부여),
2024-07-08 04:00,대전·세종·충청남도,(1) 호우주의보 발표 : 2024년 07월 08일 05시 00분,(1) 호우주의보 발표 : 충청남도(태안. 당진. 서산. 보령. 홍성),
2024-07-08 07:30,대전·세종·충청남도,(1) 호우주의보 발표 : 2024년 07월 08일 08시 30분,(1) 호우주의보 발표 : 충청남도(천안. 공주. 아산. 청양. 예산). 세종,
2024-07-08 13:00,대전·세종·충청남도,(1) 호우경보 해제 : 2024년 07월 08일 13시 00분 / (2) 호우주의보 해제 : 2024년 07월 08일 13시 00분,(1) 호우경보 해제 : 충청남도(논산. 부여). 대전 / (2) 호우주의보 해제 : 충청남도(공주. 금산. 청양. 보령. 서천. 홍성. 계룡). 세종,
2024-07-08 16:00,대전·세종·충청남도,(1) 호우주의보 해제 : 2024년 07월 08일 16시 00분,(1) 호우주의보 해제 : 충청남도(천안. 아산. 예산. 태안. 당진. 서산),
2024-07-08 18:50,대전·세종·충청남도,(1) 호우주의보 발표 : 2024년 07월 08일 18시 50분,(1) 호우주의보 발표 : 충청남도(태안),
2024-07-08 19:00,대전·세종·충청남도,(1) 호우주의보 발표 : 2024년 07월 08일 19시 00분,(1) 호우주의보 발표 : 충청남도(아산. 예산. 당진. 서산),
2024-07-08 19:20,대전·세종·충청남도,(1) 호우주의보 발표 : 2024년 07월 08일 19시 20분,(1) 호우주의보 발표 : 충청남도(천안. 홍성),
2024-07-08 20:15,대전·세종·충청남도,(1) 호우주의보 발표 : 2024년 07월 08일 20시 15분,(1) 호우주의보 발표 : 충청남도(공주). 세종,
2024-07-08 20:50,대전·세종·충청남도,(1) 호우주의보 발표 : 2024년 07월 08일 20시 50분 / (2) 호우주의보 해제 : 2024년 07월 08일 20시 50분,(1) 호우주의보 발표 : 충청남도(청양) / (2) 호우주의보 해제 : 충청남도(태안. 당진. 서산),
2024-07-08 21:25,대전·세종·충청남도,(1) 호우경보 변경 : 2024년 07월 08일 21시 25분,(1) 호우경보 변경 : 세종,
2024-07-08 21:40,대전·세종·충청남도,(1) 호우주의보 해제 : 2024년 07월 08일 21시 40분,(1) 호우주의보 해제 : 충청남도(아산. 예산. 홍성),
2024-07-08 21:45,대전·세종·충청남도,(1) 호우주의보 발표 : 2024년 07월 08일 21시 45분,(1) 호우주의보 발표 : 대전,
2024-07-08 22:00,대전·세종·충청남도,(1) 호우주의보 해제 : 2024년 07월 08일 22시 00분,(1) 호우주의보 해제 : 충청남도(천안. 청양),
2024-07-08 22:30,대전·세종·충청남도,(1) 호우주의보 해제 : 2024년 07월 08일 22시 30분,(1) 호우주의보 해제 : 충청남도(공주),
